"SR","LOCATION","WELL NO.",pH,EC,CO3,HCO3,Cl,SO4,NO3,F,PO4,Ca,Mg,Na,K,SiO2,"T.H",SAR,RSC
1,Lukhi,53D-3A2,8.57,1314,59,359,119,155,23,2.01,0.022,20,17,288,3.9,22,118,11.45,5.5

2,Bowana,53D-3B7,8.04,2185,0,311,435,210,68,0.56,0.012,63,43,373,6.5,17,333,8.88,-1.6

3,Mohindergarh,53D-4AP2,8.24,250,0,108,11,40,1.7,0.3,0.004,27,14,7.5,2.6,8,127,0.29,-0.7

1,Akbarpur,53H-4A2,8.76,2143,33,195,389,275,28,1.5,nd,37,61,352,6.0,23,342,8.28,-2.5

2,Kheri Kankar,54E-1A6,8.17,3632,0,54,1171,90,5.1,0.6,nd,300,156,214,8.0,27,1393,2.49,-27.0

3,Malab,53H-4A5,8.66,6039,79,94,1160,950,418,0.5,0.24,102,127,655,860,31,776,10.23,-11.3

4,Nagina,54A-1D1,8.84,2084,59,235,309,250,47,1,nd,27,53,352,5.0,27,286,9.06,0.1

5,Nuh,53H-4A3,8.88,715,20,195,94,0,15,0.21,nd,22,15,105,2.0,26,117,4.22,1.5

6,Akaira,53D-4D3,8.3,2515,0,342,486,245,8,0.56,nd,45,57,414,23,28,347,9.67,-1.3

1,Palwal,53H-4B1,9.25,2285,178,571,160,185,24,4.79,nd,18,16,499,8.0,27,112,20.49,13.0

2,Hodel,54E-1BP1,8.35,4439,13,356,914,720,19,0.9,nd,88,267,521,6.0,27,1317,6.25,-20.0

3,Hathin,53H-4AP6,7.98,8579,0,107,2498,680,58,0.46,nd,433,447,745,2.5,28,2920,6.00,-56.6

4,Palwal,53H-4B1,9.25,2285,178,571,160,185,24,4.79,nd,18,16,499,8.0,27,112,20.49,13.0

5,Rasulpur,53H-4B9,9.19,1909,145,436,184,190,1.3,0.98,nd,10,16,447,3.0,24,92,20.29,10.2

6,Tumsara,53H-4B2,8.85,5922,112,302,1272,750,103,0.81,nd,18,216,955,172,29,934,13.60,-10.0

7,Bhagaula,53H-4B3,8.91,9809,165,792,1706,1265,781,0.85,nd,27,186,1252,1520,30,832,18.89,1.9

8,Lalwa,53H-4B10,8.91,1093,53,262,101,50,13,1.75,nd,10,47,133,4.0,26,219,3.91,1.7

9,Mandokla,53H-4AP5,8.92,2765,79,315,549,250,11,3.05,nd,18,97,480,9.0,27,444,9.91,-1.1

10,Lakhnaka,53H-4AP4,8.74,4700,66,188,1035,600,25,4.55,nd,59,102,875,5.0,24,567,16.00,-6.0

1,Maharauli,53B1D2,7.4,525,0,263,28,1,21,0.09,nd,59,21,17,1.2,23,235,0.48,-0.4

2,Khera,53B-1D3,7.83,910,0,359,63,10,88,0.19,0.24,82,47,28,4,25,399,0.61,-2.1

3,Dharampur,53B-1D1,7.73,690,0,287,56,0,46,0.25,0.015,63,33,23,1.1,20,294,0.58,-1.2

4,Kakar Majra,53F-3A10,7.3,1410,0,454,119,85,118,0.59,nd,39,74,149,1.6,22,402,3.23,-0.6

5,Patwi,53B-3D2,7.26,2590,0,610,372,240,133,0.58,nd,47,103,361,3.5,22,500,6.75,-0.8

1,Shimla Maulana,53C-3DP6,8.04,770,0,326,61,49,0,0.74,0.026,51,47,41,6,24,320,1.00,-1.1

2,Babail,53G-3AP3,8.40,511,12,206,32,33,0,1.23,0.037,30,24,43,2.9,17,176,1.42,0.3

3,Sonali Khurd,,8.02,970,0,308,18,224,0,0.72,0.033,53,33,115,3.2,20,267,3.06,-0.3

4,Nimbri,,8.14,1507,0,580,46,300,25,0.61,0.033,77,89,147,8.7,25,559,2.71,-1.7

5,Israna,53C-3DP2,8.17,2885,0,743,303,344,113,3.29,0.022,39,32,585,29,21,229,16.82,7.6

6,Khalila Majra,53C-3C6,8.21,2462,0,864,111,456,2.4,2.65,0.04,36,39,520,5.7,21,251,14.30,9.2

7,Seenk,53C-3CP2,8.29,777,0,405,11,58,25,2,0.097,32,30,98,17,19,203,2.99,2.6

8,Urlana Kalan,53C-3CA5,7.94,1920,0,562,196,224,50,1.05,0.037,96,75,185,69,24,549,3.44,-1.7

9,Lohari,53C-3DP8,8.55,3600,30,1015,228,624,19,5.95,0.06,15,6.4,860,6.5,14,64,46.85,16.4

10,Untila,53C-3D1,8.22,1582,0,465,107,270,8,1.41,0.033,40,47,250,5,17,293,6.35,1.8

11,Karhans,53G-4AP7,8.09,582,0,302,23,25,6.1,1,0.037,47,25,41,5.1,26,219,1.20,0.5

12,Dikalda,53G-4AP4,8.45,931,12,338,28,156,0,1.19,0.058,19,9,195,2.7,17,85,9.23,4.3

13,Hathwala,53G-4AP6,8.15,460,0,242,7.1,35,0,0.75,0.026,26,19,47,3.4,18,144,1.71,1.1

14,Bilaspur,53G-4A4,7.96,785,0,223,125,15,0.07,0.49,0.04,72,39,18,5.1,22,341,0.42,-3.1

15,Tajpur,53G-3AP1,8.36,687,6,350,12,50,7.1,0.89,0.026,30,23,96,2.5,18,171,3.21,2.5

16,Khalila Pehlad,53C-3DP5,8.89,1107,65,417,28,48,11,3.38,0.022,13,12,225,3.7,21,80,10.82,7.4

17,Naraina,,8.06,550,0,115,69,44,5.6,2.4,0.011,26,18,52,3.3,13,139,1.92,-0.9

1,Koshali,53D-3B9,8.4,4954,118,574,751,1000,15,1.62,0.07,51,152,932,8,29,755,14.78,-1.7

2,Bohu,53D-3B1,8.52,2332,82,574,119,460,20,0.96,0.025,20,45,433,63,28,235,12.29,7.4

4,Mandala,53D-4BP4,8.13,825,0,263,108,75,50,0.71,nd,39,19,140,6,18,176,4.60,0.8

5,Nangal Jamalpur,,7.89,1482,0,191,211,170,148,0.21,0.004,63,71,138,2.6,20,451,2.83,-5.9

6,Karanwas,53D-4C6,8.29,1470,0,616,190,36,25,0.76,0.012,31,91,174,2.4,19,451,3.56,1.1

7,Bawal,53D-4C2,8.13,1650,0,359,232,160,133,0.32,nd,39,129,123,4.2,22,627,2.14,-6.7

8,Balawas,44P-1D5,8.14,5040,0,825,884,800,96,1.36,0.022,35,100,1080,5,22,500,21.04,3.5

9,Sangwari,53D-4C8,8.3,1690,0,371,260,220,20,1.05,nd,39,31,319,3.5,21,225,9.26,1.6

1,Rohtak,53D-1C1,8.70,1720,42,146,77,605,0.9,4.18,nd,36,67,267,4.8,14,365,6.08,-3.5

2,Lakhan Majra,53C-4B6,8.57,1871,30,171,409,196,14,0.65,0.08,48,86,195,71,26,475,3.90,-5.7

3,Nidana,53D-1A1,9.30,3653,132,787,128,890,125,8.11,0.07,12,11,941,5.8,13,75,47.21,15.8

4,Meham,53D-1B2,8.62,985,30,116,219,48,8.7,0.3,nd,24,64,70,36,28,325,1.69,-3.6

5,Madina,53D-1B3,8.77,5254,48,281,803,680,695,0.56,nd,24,178,456,736,21,790,7.05,-9.6

6,Samargopalpur,53D-1C4,8.50,2980,30,513,712,28,36,0.53,1.06,56,151,206,280,45,760,3.25,-5.8

7,Sampla,53D-1D2,8.98,2255,72,482,438,0.4,53,1.06,nd,12,64,261,258,18,295,6.63,4.4

8,Kansala,53D-1D8,9.27,2516,120,506,281,312,21,8.05,0.02,10,49,528,3.2,20,225,15.26,7.8

9,Hassangarh,53D-1D10,8.87,764,42,201,73,48,9.6,0.78,nd,14,52,47,41,19,250,1.30,-0.3

10,Bhalund,53C-1C8,8.69,768,30,159,37,176,3.2,0.35,nd,22,22,125,1.5,28,145,4.51,0.7

11,Bhalaut,53D-1C5,8.29,1785,0,244,325,230,23,0.65,nd,44,45,288,4.5,28,295,7.30,-1.9

12,Jasia,53C-4C2,7.58,5443,0,220,1132,820,620,0.63,nd,168,463,285,157,24,2327,2.57,-42.9

13,Kharawar,53D-1C3,8.95,686,54,232,20,68,0.2,0.7,nd,10,27,115,0.8,22,135,4.29,2.9

1,Dabwali,44K-1C1,8.05,3680,0,109,477,975,31,0.18,0.05,124,143,192,389,4,896,2.79,-16.2

2,Goriwala,44K-IC5,8.08,2798,0,411,323,640,19,1.67,0.06,87,75,427,24,29,525,8.10,-3.8

3,Teja Khera,44K-IC6,8.29,320,0,109,7,125,30,0.2,0.06,36,35,6.7,2.8,2.6,237,0.19,-2.9

4,Mangala,44K-3DP6,8.67,1205,24,242,119,280,2.5,0.77,0.08,29,35,224,5,15,216,6.63,0.4

5,Mamar Khera,44K-2CP2,8.63,955,24,242,112,105,22,0.24,0.88,37,25,59,160,18,196,1.84,0.9

6,Mangiana,44K-1D1,8.35,1135,24,230,126,230,4.9,0.36,0.05,33,45,102,128,15,268,2.71,-0.8

7,Nuhianwali,44K-1D6,8.95,3525,95,544,562,520,47,1.26,0.06,25,128,616,20,30,587,11.04,0.3

8,Bhurtawala,44K-3DP2,8.5,420,24,109,14,135,1.1,0.76,0.05,49,30,20,5,14,247,0.56,-2.3

9,Sakta Khera,44K-1C2,8.39,8785,4,121,1369,2000,382,0.44,0.05,62,183,1589,121,18,906,22.95,-16.0

10,Siri Jiwan Nagar,44K-2C2A,8.97,1385,65,392,77,260,7.9,0.76,0.11,29,58,233,12,17,309,5.75,2.4

11,Rasila Khera,44K-2D1,8.92,1195,59,338,105,210,29,2.93,0.07,12,50,245,6.6,25,237,6.94,2.8

12,Panniwala Mota,44K-2D5,8.45,455,24,145,21,90,5.9,0.47,0.06,33,26,19,46,16,196,0.60,-0.6

13,Phagu,44O-2AP6,7.97,21960,0,157,5088,7400,1.2,0.36,0.05,552,826,4775,57,20,4779,30.06,-92.9

14,Kalanwali,44K-1DP3,8.47,270,24,36,70,21,0,0.08,0.05,29,25,5,4.4,16,176,0.16,-2.1

15,Karamsana,44K-3C4,8.17,3225,0,290,526,680,27,2.96,0.06,103,133,420,13,19,803,6.44,-11.3

16,Mithri,44K-1DP1,8.37,4010,24,314,421,1150,98,2.04,0.06,66,90,765,11,15,536,14.39,-4.7

17,Rori,44O-2A1,7.94,370,0,181,14,105,0.86,1.67,0.04,41,28,18,23,12,216,0.53,-1.4

18,Kashi Ram Ka Was,44K-3C3,8.03,3230,0,266,477,825,23,0.94,0.05,272,43,430,16,15,855,6.39,-12.7

19,Ding,44O-3B5,8.49,4185,30,477,372,1200,24,2.67,0.07,49,63,846,17,18,381,18.85,1.2

20,Gigorani,44O-3A2,8.17,5440,0,193,779,1650,25,1.69,0.06,185,188,800,68,13,1236,9.90,-21.5

21,Sherpura,44O-3A6,8.54,9880,18,224,1348,2700,25,4.23,0.09,177,203,1714,20,14,1277,20.87,-21.3

22,Chormar,44K-1D3,9.08,1440,71,459,56,250,1.9,10.8,0.07,8.2,28,336,5,10,134,12.55,7.2

23,Odhan,44K-1D3,8.33,1975,36,326,147,420,89,6.59,0.07,37,45,364,9,16,278,9.51,1.0

24,Ghusiana,44O-3A3,8.71,755,36,145,49,165,7,1.42,0.06,45,40,64,6.7,16,278,1.67,-2.0

25,Jamal,44K-3D2,8.56,8210,48,193,1320,2100,18,0.48,1.88,461,283,908,26,3.9,2318,8.21,-41.5

26,Kaluana,44K-2C5,8.18,2761,0,109,147,1250,21,0.99,0.05,173,130,300,12,25,968,4.20,-17.5

27,Taruana,44O-2A3,8.91,1275,48,363,161,80,2.7,0.23,0.05,16,65,64,192,18,309,1.59,1.4

28,Goriwala,44K-IC5,8.5,715,30,139,35,180,20,0.86,0.05,49,50,41,6.7,14,330,0.98,-3.3

29,Shergarh,,8.38,2115,48,411,246,390,12,1.1,0.06,66,165,104,90,24,845,1.56,-8.5

1,Jakhauli,53H-1AP6,7.83,1431,0,393,127,232,30,0.16,0.026,70,83,118,7.6,23,517,2.26,-3.9

2,Manauli,53H-1AP7,8.14,532,0,254,8.9,52,0.4,1.5,0.043,17,7.8,95,3,17,75,4.79,2.7

3,Shahpur,53C-3D2,7.98,643,0,338,12,43,15,0.94,0.033,47,35,42,5.1,18,261,1.13,0.3

4,Pugthala,53C-4DP7,7.53,1138,0,592,57,50,14,0.34,0.037,79,70,69,6.3,28,485,1.36,0.0

5,Mundalana,53C-4D5,8.40,1853,12,761,71,200,24,7.8,0.017,8.6,0,460,2.8,13,22,43.20,12.4

6,Jagsi,53C-4C6,8.15,2507,0,544,324,364,24,2.04,0.014,47,79,410,6.4,20,442,8.48,0.1

7,Butana,53C-4C5,7.86,4032,0,604,606,620,108,1.11,0.033,102,114,640,9.6,24,724,10.35,-4.6

8,Garhwal,53C-4C12,8.08,1604,0,502,121,215,4.5,1.94,0.08,47,43,245,9.1,19,293,6.21,2.3

9,Bhunderi,53C-4C13,7.98,1759,0,489,178,164,5.5,0.12,2.91,89,32,215,9.4,15,357,4.97,0.9

10,Ahulana,53C-4C10,7.57,5444,0,574,1090,650,103,0.27,0.15,162,163,720,160,28,1076,9.55,-12.1

11,Mahra,53C-4C14,7.85,1164,0,502,111,39,1.7,0.72,0.04,53,58,97,34,23,373,2.19,0.8

12,Rukhi,53C-4C7,8.00,2528,0,369,442,340,6.7,1.59,0.033,83,93,335,8.3,17,591,6.00,-5.7

13,Bhainswal Kalan,53C-4D3,7.92,1100,0,538,46,82,2,1.33,0.033,81,58,70,6.2,24,442,1.45,0.0

14,Farmana,53D-1D6,8.29,4278,0,1239,698,208,11,0.32,1.72,139,102,535,255,38,767,8.41,5.0

15,Sisanah,53D-1D1,8.11,2018,0,572,182,310,16,0.87,0.113,79,80,138,190,17,527,2.62,-1.1

16,Rohat,53D-1D5,8.15,3332,0,1196,253,332,8.7,0.73,0.033,40,25,430,470,16,203,13.14,15.5

17,Nahri,53H-1A7,7.37,908,0,417,82,15,3.2,0.22,0.0517,79,28,64,27,22,314,1.58,0.6

18,Rathdhana,53H-1AP9,7.80,1714,0,695,89,208,26,0.6,0.0307,70,69,225,7.8,24,458,4.57,2.2

19,Kheora,53H-1AP1,8.21,711,0,362,12,40,16,1.92,0.0407,21,13,122,3.3,18,107,5.16,3.8

20,Murthal,53G-4AP12,8.01,1508,0,465,107,192,23,0.96,0.04,49,48,206,6,20,320,5.01,1.2

21,Datuli,53G-4AP10,8.29,1432,0,405,64,232,1.6,0.4,0.0407,17,34,230,5.4,26,181,7.41,3.0

22,Purkhas,53C-4DP8,7.87,6732,0,398,912,1640,198,0.47,0.011,124,205,1080,16,20,1151,13.84,-16.5

23,Machhri,53C-4D1,7.78,706,0,296,25,60,6.2,0.3,0.022,60,36,25,4.5,14,298,0.63,-1.1

24,Pinana,53C4D13,8.11,5572,0,1425,834,390,68,1.76,0.196,77,122,693,500,21,693,11.44,9.5

25,Lath,53C-4D2,7.92,880,0,326,55,78,18,1.33,0.033,62,30,79,3.1,12,277,2.06,-0.2

26,Khanpur Kalan,53C-4DP5,8.07,2219,0,398,296,305,9.4,1.68,0.011,98,26,345,1.8,17,352,8.01,-0.5

1,Sadhura,53F-3AP3,8.39,934,46,314,112,0,36,0.47,0.03,16,38,124,46,23,194,3.85,2.8

2,Rasulpur,53F-3A5,8.22,644,0,154,54,140,0.0,0.2,0.03,39,31,60,1.4,22,225,1.74,-2.0

3,Sabri,53F-3A9,8.39,454,13,214,7.2,19,0.2,0.13,0.05,19,17,50,2,22,117,2.01,1.6

4,Bilaspur,53F-3B1,8.48,494,13,160,40,34,27,0.37,0.04,19,20.0,61,1,30,133,2.33,0.5

5,Khijrabad,53F-3B6,8.46,321,13,147,11,0,11,0.13,0.02,43,4,18,3.3,19,122,0.70,0.4

6,Choli,53F-3B7,8.78,1858,79,347,239,50,143,0.4,0.03,12,60,247,81,28,276,6.46,2.8

7,Mustafabad,53F-4A7,8.74,1557,33,234,289,101,2.0,0.48,0.02,17,41,189,131,5.1,214,5.66,0.7

8,Amdalpur,53F-4B3,8.88,643,39,234,11,29,22,0.13,0.03,10,16,13,159,30,92,0.59,3.3

9,Shadipur,53F-4B5,8.3,457,0,154,14,96,0.0,0.45,0.03,37,26,18,7,15,199,0.55,-1.5

10,Sadhura Pz,53F-3AP3,8.3,285,0,114,14,29,14,0.2,0.02,29,12,14,3.1,15,122,0.55,-0.6

11,Radaur,53F4AP3S,8.48,331,13,127,29,10,0.0,0.42,0.02,31,13,19,4,27,133,0.72,-0.1

12,Dhaurang,53F-4A3,8.6,414,13,194,18,14,12,0.26,0.02,14,30,32,4.6,26,158,1.11,0.4

13,Jiwakheri,53F-4AP7,8.7,536,39,180,11,38,0.0,0.42,0.02,16,27,53,7.7,27,148,1.88,1.2

14,Mustafabad,53F-4A7,8.69,1031,33,180,155,75,0.0,0.42,0.03,19,27,157,9.8,15,158,5.43,0.9

16,Naggal,53F-4BP4,8.57,304,6.6,134,11.0,18,0.7,0.4,0.04,41,10.0,5,2.2,13,143,0.163,-0.5

